Name MC MP
"Bitcoin (Биткоин)BTC" ₽5,9...75.41 N/A
"Ethereum (Эфириум)ETH" ₽308,097.10 81.67%
"Tether (Тезер)USDT" ₽87.91 0.02%
BNBBNB ₽52,759.42 13.98%
"Solana (Солана)SOL" ₽15,499.51 4.11%
USDCUSDC ₽87.86 0.02%
XRPXRP ₽51.71 0.01%
"Dogecoin (Догекоин)DOGE" ₽11.53 0.00%
"Toncoin (Тонкоин)TON" ₽627.94 0.17%
"Cardano (Кардано)ADA" ₽38.00 0.01%
AvalancheAVAX $31.37 N/A
TRONTRX $0.13 N/A
"Shiba InuSHIB" $0.00 N/A
PolkadotDOT $6.31 N/A
ChainlinkLINK $14.64 N/A
"Bitcoin CashBCH" $393.75 N/A
"NEAR ProtocolNEAR" $6.13 N/A
LitecoinLTC $73.48 N/A
PolygonMATIC $0.54 N/A
DaiDAI $1.00 N/A
"UNUS SED LEOLEO" $5.72 N/A
PepePEPE $0.00 N/A
"Internet ComputerICP" $10.34 N/A
UniswapUNI $8.01 N/A
KaspaKAS $0.18 N/A
"Artificial Superintelligence AllianceFET" $1.43 N/A
"Ethereum ClassicETC" $23.71 N/A
AptosAPT $7.40 N/A
StellarXLM $0.10 N/A
MoneroXMR $163.93 N/A
StacksSTX $1.95 N/A
MantleMNT $0.88 N/A
RenderRNDR $6.99 N/A
FilecoinFIL $4.69 N/A
ArbitrumARB $0.79 N/A
HederaHBAR $0.07 N/A
MakerMKR $2809.22 N/A
dogwifhatWIF $2.56 N/A
OKBOKB $42.57 N/A
ImmutableIMX $1.65 N/A
InjectiveINJ $27.12 N/A
CosmosATOM $6.45 N/A
CronosCRO $0.09 N/A
VeChainVET $0.03 N/A
BittensorTAO $338.40 N/A
ArweaveAR $33.65 N/A
OptimismOP $1.96 N/A
BonkBONK $0.00 N/A
SuiSUI $0.85 N/A
"The GraphGRT" $0.22 N/A
"First Digital USDFDUSD" $1.00 N/A
FLOKIFLOKI $0.00 N/A
"Lido DAOLDO" $1.91 N/A
NotcoinNOT $0.02 N/A
THORChainRUNE $4.82 N/A
"Bitget TokenBGB" $1.15 N/A
"Theta NetworkTHETA" $1.61 N/A
OndoONDO $1.08 N/A
CoreCORE $1.62 N/A
AaveAAVE $98.00 N/A
JasmyCoinJASMY $0.03 N/A
FantomFTM $0.52 N/A
"Brett (Based)BRETT" $0.14 N/A
JupiterJUP $1.04 N/A
CelestiaTIA $6.64 N/A
"Pyth NetworkPYTH" $0.36 N/A
AlgorandALGO $0.16 N/A
SeiSEI $0.39 N/A
MANTRAOM $1.32 N/A
MultiversXEGLD $35.96 N/A
FlowFLOW $0.64 N/A
"KuCoin TokenKCS" $9.94 N/A
BeamBEAM $0.02 N/A
"Axie InfinityAXS" $6.30 N/A
"Bitcoin SVBSV" $46.90 N/A
EOSEOS $0.61 N/A
QuantQNT $74.78 N/A
"Ethereum Name ServiceENS" $26.60 N/A
StarknetSTRK $0.60 N/A
"BitTorrent [New]BTT" $0.00 N/A
"dYdX (Native)DYDX" $1.43 N/A
FlareFLR $0.02 N/A
"Akash NetworkAKT" $3.52 N/A
ORDIORDI $40.89 N/A
GalaGALA $0.03 N/A
NeoNEO $11.83 N/A
"Mog CoinMOG" $0.00 N/A
EthenaENA $0.48 N/A
TezosXTZ $0.79 N/A
"The SandboxSAND" $0.34 N/A
RoninRON $2.32 N/A
HeliumHNT $4.81 N/A
USDDUSDD $1.00 N/A
GateTokenGT $7.89 N/A
eCashXEC $0.00 N/A
ConfluxCFX $0.17 N/A
NexoNEXO $1.27 N/A
WorldcoinWLD $2.50 N/A
zkSyncZK $0.19 N/A
PendlePENDLE $4.41 N/A
